Rank,Team,Score,Year
47,Senegal,1653.81,2007
48,Costa Rica,1651.58,2007
49,Venezuela,1646.16,2007
50,Saudi Arabia,1646.12,2007
51,Belgium,1645.94,2007
52,Tunisia,1644.53,2007
53,Peru,1638.47,2007
54,Iraq,1623.5,2007
55,Canada,1620.56,2007
56,Austria,1613.29,2007
57,Guinea,1598.88,2007
58,Wales,1590.74,2007
59,Oman,1587.86,2007
60,Hungary,1587.15,2007
61,Bosnia and Herzegovina,1582.81,2007
62,China,1580.77,2007
63,Jamaica,1575.72,2007
64,Bolivia,1573.65,2007
65,Angola,1565.46,2007
66,Panama,1561.9,2007
67,Mali,1561.84,2007
68,Uzbekistan,1560.83,2007
69,Northern Ireland,1560.74,2007
70,Slovenia,1558.28,2007
71,Zambia,1553.4,2007
72,Belarus,1550.66,2007
73,Haiti,1546.2,2007
74,Georgia,1534.96,2007
75,Jordan,1534.74,2007
76,Macedonia,1532.75,2007
77,Guatemala,1522.14,2007
78,Cuba,1519.43,2007
79,Trinidad and Tobago,1518.93,2007
80,Albania,1511.31,2007
81,New Zealand,1506.3,2007
82,Lithuania,1505.49,2007
83,Cyprus,1500.43,2007
84,United Arab Emirates,1499.6,2007
85,Qatar,1494.87,2007
86,North Korea,1490.28,2007
87,Syria,1489.46,2007
88,South Africa,1482.73,2007
89,Bahrain,1473.76,2007
90,Iceland,1471.8,2007
91,Dem. Rep. of Congo,1464.49,2007
92,Zimbabwe,1457.3,2007
93,Kuwait,1456.43,2007
94,Northern Cyprus,1454.88,2007
95,Latvia,1442.38,2007
96,Togo,1440.92,2007
97,Libya,1432.28,2007
98,Moldova,1424.09,2007
99,Armenia,1417.45,2007
100,Algeria,1415.56,2007
101,Guadeloupe,1414.36,2007
102,Congo,1410.86,2007
103,Gabon,1407.23,2007
104,Uganda,1404.61,2007
105,Sudan,1401.0,2007
106,Estonia,1387.59,2007
107,Azerbaijan,1385.7,2007
108,Kosovo,1381.77,2007
109,Ethiopia,1379.08,2007
110,Martinique,1377.1,2007
111,Burkina Faso,1376.27,2007
112,Thailand,1369.47,2007
113,El Salvador,1360.96,2007
114,Kazakhstan,1355.68,2007
115,Turkmenistan,1349.02,2007
116,Saint Vincent and the Grenadines,1343.2,2007
117,Guyana,1341.37,2007
118,Solomon Islands,1340.59,2007
119,Lebanon,1335.25,2007
120,Gambia,1332.56,2007
121,Mozambique,1327.33,2007
122,Tanzania,1326.41,2007
123,Kenya,1324.63,2007
124,Tajikistan,1319.0,2007
125,Botswana,1318.13,2007
126,Benin,1318.05,2007
127,Fiji,1315.88,2007
128,Cape Verde,1309.84,2007
129,Singapore,1308.56,2007
130,Barbados,1302.07,2007
131,Indonesia,1299.13,2007
132,Rwanda,1293.72,2007
133,Malawi,1287.94,2007
134,Niger,1281.88,2007
135,Sierra Leone,1271.09,2007
136,Vietnam,1264.95,2007
137,Malta,1263.41,2007
138,Burundi,1262.52,2007
139,Liberia,1262.37,2007
140,Reunion,1258.94,2007
141,Chad,1253.51,2007
142,Yemen,1244.7,2007
143,Guinea-Bissau,1243.03,2007
144,Vanuatu,1239.37,2007
145,Tahiti,1237.65,2007
146,Namibia,1237.07,2007
147,Saint Kitts and Nevis,1227.59,2007
148,Zanzibar,1226.97,2007
149,New Caledonia,1223.09,2007
150,Hong Kong,1222.96,2007
151,Mauritius,1217.07,2007
152,French Guiana,1215.21,2007
153,Palestine,1214.48,2007
154,Equatorial Guinea,1213.95,2007
155,Mauritania,1207.57,2007
156,Mayotte,1197.9,2007
157,Madagascar,1196.06,2007
158,Central African Republic,1188.95,2007
159,Swaziland,1185.65,2007
160,Kyrgyzstan,1176.35,2007
161,Faroe Islands,1169.4,2007
162,Malaysia,1166.82,2007
163,Myanmar,1162.95,2007
164,Bermuda,1157.39,2007
165,Eritrea,1155.92,2007
166,Liechtenstein,1149.25,2007
167,Lesotho,1141.83,2007
168,India,1139.65,2007
169,Gibraltar,1107.35,2007
170,Andorra,1089.66,2007
171,Seychelles,1081.75,2007
172,Antigua and Barbuda,1067.29,2007
173,Belize,1055.77,2007
174,Nicaragua,1052.78,2007
175,Papua New Guinea,1047.06,2007
176,Maldives,1032.38,2007
177,Saint Martin,1009.9,2007
178,Luxembourg,1008.8,2007
179,Dominica,995.32,2007
180,Bangladesh,983.88,2007
181,Chinese Taipei,956.7,2007
182,Somalia,950.15,2007
183,Sri Lanka,944.3,2007
184,San Marino,932.68,2007
185,British Virgin Islands,902.1,2007
186,Pakistan,893.17,2007
187,Laos,885.05,2007
188,Comoros,855.39,2007
189,Nepal,837.64,2007
190,Afghanistan,810.58,2007
191,Cambodia,807.51,2007
192,Djibouti,804.11,2007
193,Mongolia,790.09,2007
194,Macau,789.17,2007
195,Philippines,762.53,2007
196,Tuvalu,743.65,2007
197,Tonga,712.18,2007
198,Samoa,690.84,2007
199,Cook Islands,686.33,2007
200,Tibet,661.9,2007
201,Timor-Leste,589.62,2007
202,Northern Mariana Islands,580.41,2007
203,Guam,569.92,2007
204,Bhutan,569.1,2007
205,American Samoa,366.53,2007
1,Brazil,2043.82,2008
2,Spain,2037.27,2008
3,Italy,2020.13,2008
4,Argentina,2004.37,2008
5,Netherlands,1999.61,2008
6,Germany,1964.6,2008
7,France,1952.66,2008
8,England,1933.38,2008
9,Croatia,1890.71,2008
10,Czech Republic,1888.68,2008
11,Romania,1882.3,2008
12,Mexico,1880.29,2008
13,Portugal,1856.36,2008
14,Russia,1834.93,2008
15,Denmark,1832.52,2008
16,Paraguay,1823.12,2008
17,Turkey,1821.72,2008
18,Uruguay,1811.57,2008
19,Greece,1804.07,2008
20,Colombia,1800.09,2008
21,Bulgaria,1799.38,2008
22,United States,1798.01,2008
23,Switzerland,1788.07,2008
24,Sweden,1780.16,2008
25,Egypt,1779.19,2008
26,Ireland,1773.57,2008
27,Japan,1768.14,2008
28,Chile,1764.33,2008
29,Poland,1763.73,2008
30,Cameroon,1761.98,2008
31,Iran,1760.8,2008
32,Israel,1754.41,2008
33,Ukraine,1751.17,2008
34,Ghana,1749.72,2008
35,Scotland,1748.26,2008
36,Serbia,1744.81,2008
37,Norway,1733.96,2008
38,Nigeria,1731.05,2008
39,Australia,1729.44,2008
40,Ivory Coast,1727.36,2008
41,Ecuador,1695.12,2008
42,Honduras,1693.55,2008
43,Montenegro,1680.76,2008
44,South Korea,1675.83,2008
45,Finland,1674.08,2008
46,Saudi Arabia,1668.08,2008
47,Venezuela,1662.85,2008
48,Morocco,1658.28,2008
49,Wales,1645.67,2008
50,Costa Rica,1642.17,2008
51,Slovakia,1630.49,2008
52,Belgium,1630.23,2008
53,Tunisia,1628.35,2008
54,Peru,1624.17,2008
55,Canada,1611.23,2008
56,Iraq,1609.57,2008
57,Lithuania,1598.86,2008
58,Guinea,1591.84,2008
59,Austria,1588.54,2008
60,Senegal,1586.33,2008
61,Bolivia,1584.43,2008
62,Uzbekistan,1582.64,2008
63,Hungary,1581.68,2008
64,Northern Ireland,1576.03,2008
65,Belarus,1575.17,2008
66,Jamaica,1566.42,2008
67,Macedonia,1565.18,2008
68,Panama,1558.81,2008
69,Slovenia,1558.19,2008
70,Mali,1556.28,2008
71,New Zealand,1551.9,2008
72,China,1549.21,2008
73,Zambia,1546.84,2008
74,Bosnia and Herzegovina,1544.42,2008
75,Syria,1534.07,2008
76,Cyprus,1532.83,2008
77,Angola,1532.42,2008
78,North Korea,1524.36,2008
79,Trinidad and Tobago,1521.63,2008
80,Bahrain,1520.7,2008
81,Jordan,1519.98,2008
82,Oman,1519.45,2008
83,Guatemala,1514.8,2008
84,Georgia,1512.3,2008
85,Latvia,1508.47,2008
86,Qatar,1502.22,2008
87,South Africa,1501.25,2008
88,Haiti,1494.55,2008
89,Albania,1492.57,2008
90,Libya,1487.1,2008
91,Moldova,1486.7,2008
92,Cuba,1474.31,2008
93,Gabon,1461.7,2008
94,Dem. Rep. of Congo,1454.07,2008
95,Guadeloupe,1453.57,2008
96,United Arab Emirates,1446.54,2008
97,Zimbabwe,1442.9,2008
98,Togo,1438.3,2008
99,Armenia,1430.15,2008
100,El Salvador,1427.44,2008
101,Kuwait,1427.26,2008
102,Iceland,1421.48,2008
103,Algeria,1419.61,2008
104,Thailand,1417.2,2008
105,Congo,1411.13,2008
106,Estonia,1406.8,2008
107,Uganda,1405.2,2008
108,Benin,1389.0,2008
109,Sudan,1385.9,2008
110,Rwanda,1383.34,2008
111,Burkina Faso,1375.89,2008
112,Martinique,1373.73,2008
113,Azerbaijan,1365.83,2008
114,Gambia,1365.77,2008
115,Kenya,1364.18,2008
116,Singapore,1361.29,2008
117,Kazakhstan,1360.31,2008
118,Mozambique,1358.53,2008
119,Tanzania,1331.6,2008
120,Botswana,1329.94,2008
121,Cape Verde,1324.18,2008
122,New Caledonia,1323.11,2008
123,Ethiopia,1322.61,2008
124,Turkmenistan,1318.19,2008
125,Malawi,1309.26,2008
126,Guyana,1301.09,2008
127,Barbados,1300.19,2008
128,Lebanon,1299.33,2008
129,Solomon Islands,1298.81,2008
130,Saint Vincent and the Grenadines,1290.59,2008
131,Indonesia,1281.34,2008
132,Namibia,1279.49,2008
133,Tajikistan,1279.26,2008
134,Vietnam,1275.03,2008
135,Fiji,1272.08,2008
136,Burundi,1267.79,2008
137,Reunion,1267.07,2008
138,Chad,1257.39,2008
139,Liberia,1250.66,2008
140,Suriname,1250.01,2008
141,Madagascar,1249.56,2008
142,Niger,1248.08,2008
143,Malta,1243.52,2008
144,Equatorial Guinea,1237.83,2008
145,Sierra Leone,1233.99,2008
146,Vanuatu,1227.79,2008
147,Grenada,1227.56,2008
148,Yemen,1222.28,2008
149,India,1210.07,2008
150,French Guiana,1204.74,2008
151,Hong Kong,1202.68,2008
152,Tahiti,1190.19,2008
153,Palestine,1187.72,2008
154,Mauritania,1186.22,2008
155,Liechtenstein,1184.65,2008
156,Kyrgyzstan,1172.71,2008
157,Mayotte,1169.42,2008
158,Myanmar,1166.38,2008
159,Swaziland,1165.61,2008
160,Faroe Islands,1160.41,2008
161,Malaysia,1158.04,2008
162,Netherlands Antilles,1155.07,2008
163,Antigua and Barbuda,1149.99,2008
164,Saint Kitts and Nevis,1147.59,2008
165,Saint Lucia,1141.74,2008
166,Bermuda,1136.79,2008
167,Lesotho,1134.04,2008
168,Mauritius,1123.39,2008
169,Belize,1091.22,2008
170,Maldives,1078.8,2008
171,Seychelles,1077.65,2008
172,Andorra,1058.54,2008
173,Luxembourg,1052.45,2008
174,Dominican Republic,1050.43,2008
175,Nicaragua,1025.42,2008
176,Dominica,995.05,2008
177,Cayman Islands,977.06,2008
178,Saint Martin,975.44,2008
179,Chinese Taipei,961.47,2008
180,Puerto Rico,957.24,2008
181,Sri Lanka,945.8,2008
182,Bangladesh,936.76,2008
183,San Marino,923.91,2008
184,Somalia,914.25,2008
185,Aruba,907.84,2008
186,British Virgin Islands,905.31,2008
187,Pakistan,877.14,2008
188,Laos,876.42,2008
189,Bahamas,874.05,2008
190,Nepal,873.14,2008
191,Comoros,837.77,2008
192,Turks and Caicos,823.82,2008
193,Afghanistan,815.18,2008
194,Djibouti,804.87,2008
195,Cambodia,792.8,2008
196,Philippines,790.33,2008
197,Macau,741.3,2008
198,Brunei,698.51,2008
199,US Virgin Islands,669.48,2008
200,Bhutan,629.23,2008
201,Timor-Leste,583.13,2008
202,Guam,567.53,2008
203,Anguilla,552.04,2008
204,Northern Mariana Islands,549.39,2008
205,Montserrat,538.46,2008
1,Spain,2097.02,2009
2,Brazil,2075.13,2009
3,Netherlands,2032.72,2009
4,England,1990.61,2009
5,Italy,1970.08,2009
6,Germany,1960.25,2009
7,Argentina,1921.15,2009
8,Croatia,1888.75,2009
9,Russia,1887.33,2009
10,France,1885.77,2009
11,Mexico,1839.49,2009
12,Portugal,1834.09,2009
13,Denmark,1833.49,2009
14,Uruguay,1829.0,2009
15,Chile,1826.97,2009
16,United States,1821.98,2009
17,Paraguay,1811.13,2009
18,Serbia,1810.15,2009
19,Turkey,1809.82,2009
20,Czech Republic,1806.7,2009
21,Switzerland,1801.35,2009
22,Ukraine,1794.7,2009
23,Romania,1791.35,2009
24,Bulgaria,1786.25,2009
25,Ireland,1780.02,2009
26,Greece,1775.77,2009
27,Japan,1770.76,2009
28,Sweden,1768.49,2009
29,Australia,1750.45,2009
30,Colombia,1741.96,2009
31,Nigeria,1739.96,2009
32,Cameroon,1738.31,2009
33,Ivory Coast,1738.3,2009
34,Honduras,1737.5,2009
35,South Korea,1735.05,2009
36,Costa Rica,1731.47,2009
37,Egypt,1728.94,2009
38,Israel,1728.92,2009
39,Ecuador,1724.89,2009
40,Norway,1721.77,2009
41,Iran,1720.13,2009
42,Ghana,1711.73,2009
43,Scotland,1706.66,2009
44,Poland,1705.64,2009
45,Venezuela,1694.03,2009
46,Saudi Arabia,1676.51,2009
47,Finland,1670.59,2009
48,Montenegro,1668.44,2009
49,Slovakia,1641.7,2009
50,Tunisia,1641.22,2009
51,Morocco,1628.35,2009
52,Jamaica,1628.15,2009
53,Bosnia and Herzegovina,1625.79,2009
54,Hungary,1625.26,2009
55,Bolivia,1613.89,2009
56,Wales,1612.5,2009
57,Lithuania,1605.82,2009
58,Oman,1604.58,2009
59,Bahrain,1600.87,2009
60,Canada,1596.04,2009
61,Slovenia,1594.18,2009
62,Belgium,1592.43,2009
63,Belarus,1582.98,2009
64,Syria,1580.69,2009
65,Austria,1576.52,2009
66,Northern Ireland,1576.49,2009
67,Peru,1569.93,2009
68,Panama,1563.22,2009
69,Macedonia,1561.33,2009
70,Trinidad and Tobago,1554.35,2009
71,Mali,1549.3,2009
72,Senegal,1544.78,2009
73,Latvia,1543.34,2009
74,Uzbekistan,1542.23,2009
75,South Africa,1540.18,2009
76,Cyprus,1538.81,2009
77,Iraq,1536.65,2009
78,Gabon,1535.64,2009
79,North Korea,1532.51,2009
80,China,1532.11,2009
81,Guinea,1530.0,2009
82,Qatar,1520.07,2009
83,Algeria,1508.4,2009
84,New Zealand,1506.69,2009
85,El Salvador,1503.72,2009
86,Libya,1493.21,2009
87,Uganda,1483.76,2009
88,Albania,1481.94,2009
89,Georgia,1478.93,2009
90,Jordan,1474.01,2009
91,Angola,1469.83,2009
92,Guadeloupe,1462.21,2009
93,Thailand,1459.82,2009
94,Zambia,1459.36,2009
95,Togo,1457.75,2009
96,Kuwait,1455.03,2009
97,Burkina Faso,1453.61,2009
98,Moldova,1441.29,2009
99,Iceland,1438.51,2009
100,Dem. Rep. of Congo,1434.29,2009
101,Guatemala,1433.12,2009
102,Estonia,1423.95,2009
103,Haiti,1418.19,2009
104,Benin,1413.64,2009
105,Mozambique,1411.56,2009
106,Congo,1407.18,2009
107,United Arab Emirates,1402.4,2009
108,Kenya,1400.19,2009
109,Zimbabwe,1393.48,2009
110,Armenia,1393.05,2009
111,Singapore,1387.1,2009
112,Sudan,1374.83,2009
113,Azerbaijan,1373.44,2009
114,Martinique,1373.1,2009
115,Rwanda,1367.05,2009
116,Tanzania,1363.73,2009
117,Vietnam,1348.14,2009
118,Kazakhstan,1347.12,2009
119,Cape Verde,1346.52,2009
120,Malawi,1328.96,2009
121,Ethiopia,1325.88,2009
122,Namibia,1316.19,2009
123,Reunion,1314.1,2009
124,Turkmenistan,1313.18,2009
125,Barbados,1308.44,2009
126,Botswana,1294.17,2009
127,Grenada,1273.05,2009
128,Tajikistan,1272.95,2009
129,Madagascar,1269.26,2009
130,Indonesia,1269.03,2009
131,Zanzibar,1257.0,2009
132,Lebanon,1256.72,2009
133,Saint Vincent and the Grenadines,1253.95,2009
134,Sierra Leone,1250.27,2009
135,Burundi,1244.68,2009
136,Suriname,1243.43,2009
137,India,1243.19,2009
138,Liberia,1239.9,2009
139,Antigua and Barbuda,1239.41,2009
140,Guyana,1236.8,2009
141,Malta,1224.93,2009
142,Yemen,1215.88,2009
143,Equatorial Guinea,1214.42,2009
144,French Guiana,1207.2,2009
145,Hong Kong,1202.1,2009
146,Eritrea,1190.33,2009
147,Faroe Islands,1190.18,2009
148,Myanmar,1181.96,2009
149,Palestine,1178.85,2009
150,Liechtenstein,1175.34,2009
151,Swaziland,1166.3,2009
152,Kyrgyzstan,1157.67,2009
153,Malaysia,1148.2,2009
154,Netherlands Antilles,1142.22,2009
155,Lesotho,1137.8,2009
156,Mayotte,1128.17,2009
157,Saint Kitts and Nevis,1120.87,2009
158,Maldives,1092.82,2009
159,Luxembourg,1090.6,2009
160,Belize,1085.7,2009
161,Nicaragua,1082.87,2009
162,Seychelles,1068.58,2009
163,Mauritius,1055.1,2009
164,Andorra,1039.77,2009
165,Dominica,985.67,2009
166,Cayman Islands,978.49,2009
167,Somalia,944.41,2009
168,Chinese Taipei,942.53,2009
169,Sri Lanka,935.76,2009
170,Nepal,923.81,2009
171,Bangladesh,923.45,2009
172,San Marino,915.19,2009
173,British Virgin Islands,893.33,2009
174,Pakistan,871.61,2009
175,Comoros,837.55,2009
176,Philippines,815.51,2009
177,Afghanistan,806.71,2009
178,Djibouti,798.38,2009
179,Mongolia,793.92,2009
180,Cambodia,773.05,2009
181,Cook Islands,719.32,2009
182,Macau,706.93,2009
183,Tonga,696.68,2009
184,Brunei,661.52,2009
185,Bhutan,637.85,2009
186,Guam,596.75,2009
187,Northern Mariana Islands,507.51,2009
1,Brazil,2106.61,2010
2,Spain,2102.19,2010
3,Netherlands,2034.1,2010
4,England,1989.8,2010
5,Germany,1954.04,2010
6,Italy,1952.51,2010
7,Argentina,1910.11,2010
8,Mexico,1893.09,2010
9,Croatia,1891.49,2010
10,France,1883.25,2010
11,Chile,1879.02,2010
12,Portugal,1874.83,2010
13,Russia,1849.51,2010
14,Serbia,1844.93,2010
15,Uruguay,1825.6,2010
16,Egypt,1818.23,2010
17,Denmark,1801.98,2010
18,Turkey,1791.21,2010
19,Ukraine,1784.93,2010
20,United States,1783.99,2010
21,Sweden,1782.47,2010
22,Switzerland,1779.85,2010
23,Australia,1779.25,2010
24,Ireland,1766.72,2010
25,Greece,1765.2,2010
26,Romania,1761.26,2010
27,Colombia,1758.64,2010
28,Paraguay,1758.33,2010
29,Norway,1753.84,2010
30,Honduras,1751.86,2010
31,South Korea,1750.6,2010
32,Bulgaria,1746.64,2010
33,Czech Republic,1743.69,2010
34,Japan,1740.96,2010
35,Ivory Coast,1735.39,2010
36,Israel,1728.17,2010
37,Ecuador,1721.44,2010
38,Venezuela,1721.4,2010
39,Cameroon,1717.29,2010
40,Nigeria,1708.58,2010
41,Costa Rica,1699.52,2010
42,Ghana,1683.75,2010
43,Saudi Arabia,1683.64,2010
44,Slovenia,1678.66,2010
45,Scotland,1675.61,2010
46,Poland,1667.68,2010
47,Finland,1667.24,2010
48,Iran,1666.11,2010
49,Montenegro,1658.64,2010
50,Slovakia,1658.5,2010
51,Bosnia and Herzegovina,1645.93,2010
52,Jamaica,1619.17,2010
53,Tunisia,1613.55,2010
54,Hungary,1612.8,2010
55,China,1605.69,2010
56,Wales,1600.64,2010
57,Canada,1600.46,2010
58,Bolivia,1597.0,2010
59,Austria,1595.36,2010
60,Oman,1594.48,2010
61,Belarus,1586.47,2010
62,Belgium,1585.66,2010
63,Macedonia,1584.88,2010
64,Lithuania,1584.33,2010
65,Northern Ireland,1570.6,2010
66,Syria,1565.72,2010
67,Latvia,1564.35,2010
68,Gabon,1563.14,2010
69,Cyprus,1560.26,2010
70,Senegal,1560.2,2010
71,Panama,1558.83,2010
72,Zambia,1555.72,2010
73,Mali,1554.42,2010
74,Uganda,1552.36,2010
75,Bahrain,1547.69,2010
76,Algeria,1545.75,2010
77,North Korea,1545.05,2010
78,Trinidad and Tobago,1538.53,2010
79,South Africa,1536.42,2010
80,New Zealand,1527.99,2010
81,Uzbekistan,1525.16,2010
82,Qatar,1522.65,2010
83,Kuwait,1507.16,2010
84,El Salvador,1505.19,2010
85,Albania,1501.55,2010
86,Libya,1489.86,2010
87,Burkina Faso,1477.1,2010
88,Guinea,1466.73,2010
89,Togo,1460.19,2010
90,Jordan,1458.18,2010
91,Iceland,1456.41,2010
92,Guadeloupe,1456.16,2010
93,Thailand,1454.38,2010
94,Angola,1453.41,2010
95,Estonia,1449.46,2010
96,Moldova,1445.5,2010
97,Georgia,1440.77,2010
98,Azerbaijan,1435.02,2010
99,Benin,1432.86,2010
100,Guatemala,1431.89,2010
101,Haiti,1431.26,2010
102,Dem. Rep. of Congo,1425.69,2010
103,United Arab Emirates,1422.36,2010
104,Gambia,1410.98,2010
105,Rwanda,1402.11,2010
106,Mozambique,1384.17,2010
107,Kosovo,1381.9,2010
108,Armenia,1377.52,2010
109,Malawi,1374.71,2010
110,Martinique,1374.43,2010
111,Cape Verde,1365.06,2010
112,Singapore,1357.47,2010
113,Turkmenistan,1348.32,2010
114,Vietnam,1346.54,2010
115,Tanzania,1336.66,2010
116,Kazakhstan,1336.64,2010
117,Sudan,1333.7,2010
118,Zimbabwe,1332.67,2010
119,Namibia,1322.83,2010
120,Kenya,1319.58,2010
121,Botswana,1303.89,2010
122,Yemen,1279.76,2010
123,Tajikistan,1273.83,2010
124,Sierra Leone,1259.27,2010
125,Indonesia,1258.62,2010
126,Niger,1253.38,2010
127,Grenada,1252.07,2010
128,Lebanon,1223.2,2010
129,Malta,1216.75,2010
130,Faroe Islands,1209.95,2010
131,Hong Kong,1208.28,2010
132,India,1187.43,2010
133,Palestine,1178.3,2010
134,Malaysia,1175.28,2010
135,Myanmar,1173.23,2010
136,Swaziland,1169.41,2010
137,Kyrgyzstan,1162.83,2010
138,Saint Kitts and Nevis,1147.84,2010
139,Curaçao,1132.7,2010
140,Luxembourg,1098.51,2010
141,Bonaire,1095.3,2010
142,Andorra,1025.77,2010
143,Sri Lanka,932.84,2010
144,Bangladesh,927.69,2010
145,Chinese Taipei,923.46,2010
146,Aruba,907.86,2010
147,Philippines,820.54,2010
